"xDstar","xCstar","N"
0.9387,0.0613,26
0.8528,0.1472,28
0.8224,0,30
0.7821,0.2179,30
0.7651,0,32
0.7232,0.2768,32
0.6752,0.3039,34
0.6752,0.3038,34
0.6733,0.3267,34
0.7152,0,34
0.647,0.1859,36
0.6713,0,36
0.6302,0.3698,36
0.5923,0.4077,38
0.5923,0.4076,38
0.6347,-0.0171,38
0.6325,-2e-04,38
0.6324,-1e-04,38
0.6346,-0.017,38
0.6324,2e-04,38
0.6324,1e-04,38
0.6346,-0.0169,38
0.6347,-0.017,38
0.5585,0.4415,40
0.5976,0,40
0.6326,-0.2688,40
0.5662,0,42
0.5278,0.4722,42
0.4998,0.5002,44
0.4739,0.5261,46
0.4875,0,48
0.4498,0.5502,48
0.4272,0.5728,50
0.4061,0.5939,52
0.3862,0.6138,54
0.3674,0.6326,56
0.3496,0.6504,58
0.3327,0.6673,60
0.3168,0.6832,62
0.347,0,64
0.3016,0.6984,64
0.3016,0.6983,64
0.2873,0.7127,66
0.2736,0.7264,68
0.2606,0.7394,70
0.2991,0,72
0.2483,0.7517,72
0.2886,0,74
0.2365,0.7635,74
0.2253,0.7747,76
0.2146,0.7854,78
0.2603,0,80
0.2044,0.7956,80
0.2518,0,82
0.1947,0.8053,82
0.1854,0.8146,84
0.1764,0.8236,86
0.1764,0.8235,86
0.1679,0.8321,88
0.2213,0,90
0.1598,0.8402,90
0.1519,0.8481,92
0.1444,0.8556,94
0.1372,0.8628,96
0.1957,0,98
0.1303,0.8697,98
0,0.9915,100
0.1236,0.8764,100
0,0.9914,100
0.1172,0.8828,102
0,0.9531,102
0,0.953,102
0.1791,0,104
0,0.9165,104
0,0.9164,104
0.1111,0.8889,104
0,0.8816,106
0.1051,0.8949,106
0.169,0,108
0.0994,0.9006,108
0,0.8486,108
0,0.8174,110
0.0939,0.9061,110
0,0.7879,112
0.0885,0.9115,112
0,0.7601,114
0.0834,0.9166,114
0,0.734,116
0.0784,0.9216,116
0,0.7094,118
0.0736,0.9264,118
0.069,0.931,120
0.0645,0.9355,122
0,0.6645,122
0.1351,0,124
0.0601,0.9399,124
0.0559,0.9441,126
0.0518,0.9482,128
0.0479,0.9521,130
0.044,0.956,132
0.118,0,134
0.0403,0.9597,134
0,0.5393,136
0.0367,0.9633,136
0,0.5241,138
0.0331,0.9669,138
0.0297,0.9703,140
0,0.4949,142
0.0264,0.9736,142
0.0232,0.9768,144
0.02,0.98,146
0.017,0.983,148
0,0.4402,150
0.014,0.986,150
0.0929,0,152
0.0111,0.9889,152
0.0905,0,154
0.0082,0.9918,154
0.0082,0.9917,154
0.0881,0,156
0.0055,0.9945,156
0,0.4013,156
0,0.3762,160
0,0.3638,162
0,0.3516,164
0,0.3395,166
0.0731,0,170
0,0.2923,174
0,0.2922,174
0,0.2808,176
0,0.2694,178
0,0.2582,180
0.0638,0,180
0.0571,0,188
0,0.2149,188
0,0.2045,190
0,0.2044,190
0.0494,0,198
0,0.1642,198
0,0.1545,200
