"xDstar","xCstar","d"
0.9877,0.0123,2
0.9066,0.0934,2.1
0.843,0.157,2.2
0.7922,0.2078,2.3
0.7502,0.2498,2.4
0.8191,0,2.4
0.78,0,2.5
0.7144,0.2856,2.5
0.6935,0.2397,2.6
0.6832,0.3167,2.6
0.6832,0.3168,2.6
0.6781,0.1734,2.7
0.7135,0,2.7
0.6554,0.3446,2.7
0.6675,0.0894,2.8
0.6303,0.3697,2.8
0.6587,0,2.9
0.6072,0.3928,2.9
0.6587,1e-04,2.9
0.5857,0.4143,3
0.6564,-0.1217,3
0.6347,0,3
0.6124,0,3.1
0.653,-0.2361,3.1
0.5657,0.4343,3.1
0.5918,0,3.2
0.547,0.453,3.2
0.65,-0.3515,3.2
0.5292,0.4708,3.3
0.5724,0,3.3
0.5544,0,3.4
0.5124,0.4876,3.4
0.5373,0,3.5
0.4965,0.5035,3.5
0.5213,0,3.6
0.4813,0.5187,3.6
0.5062,0,3.7
0.4668,0.5332,3.7
0.453,0.547,3.8
0.4782,0,3.9
0.4398,0.5602,3.9
0.4272,0.5728,4
0.4152,0.5848,4.1
0.4414,0,4.2
0.4037,0.5963,4.2
0.4303,0,4.3
0.3927,0.6073,4.3
0.3822,0.6178,4.4
0.3721,0.6279,4.5
0.3998,0,4.6
0.3624,0.6375,4.6
0.3624,0.6376,4.6
0.3532,0.6468,4.7
0.3444,0.6556,4.8
0.3732,0,4.9
0.3359,0.6641,4.9
0.3278,0.6722,5
0.32,0.68,5.1
0.3126,0.6874,5.2
0.3054,0.6946,5.3
0.2985,0.7015,5.4
0.2919,0.7081,5.5
0.2919,0.708,5.5
0.3225,0,5.6
0.2856,0.7144,5.6
0.2795,0.7205,5.7
0.3104,0,5.8
0.2736,0.7264,5.8
0.2736,0.7263,5.8
0.268,0.732,5.9
0.2626,0.7374,6
0.2573,0.7427,6.1
0.2886,0,6.2
0.2523,0.7477,6.2
0.2474,0.7526,6.3
0.2427,0.7573,6.4
0.274,0,6.5
0.2382,0.7618,6.5
0.2338,0.7662,6.6
0.2296,0.7704,6.7
0.2255,0.7745,6.8
0.2568,0,6.9
0.2215,0.7785,6.9
0.2177,0.7823,7
0.214,0.786,7.1
0.2104,0.7896,7.2
0.2415,0,7.3
0.2069,0.7931,7.3
0.2379,0,7.4
0.2036,0.7964,7.4
0.2345,0,7.5
0.2003,0.7997,7.5
0.1971,0.8029,7.6
0.194,0.806,7.7
0.2247,0,7.8
0.191,0.809,7.8
0.2216,0,7.9
0.1881,0.8119,7.9
0.2186,0,8
0.1853,0.8147,8
0.2157,0,8.1
0.1825,0.8175,8.1
0.1799,0.8201,8.2
0.1773,0.8227,8.3
0.2073,0,8.4
0.1747,0.8253,8.4
0.1723,0.8277,8.5
0.1699,0.8301,8.6
0.1675,0.8325,8.7
0.1653,0.8347,8.8
0.163,0.837,8.9
0.1923,0,9
0.1609,0.8391,9
0.1587,0.8412,9.1
0.1587,0.8413,9.1
0.1878,0,9.2
0.1567,0.8433,9.2
0.1856,0,9.3
0.1547,0.8453,9.3
0.1835,0,9.4
0.1527,0.8473,9.4
0.1508,0.8492,9.5
0.1793,0,9.6
0.1489,0.8511,9.6
0.1471,0.8529,9.7
0.1453,0.8547,9.8
0.1435,0.8565,9.9
0.1418,0.8582,10
